"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
290,300,125,1.14644248405779,0.639299267706277
290,300,125.625,1.19707859836245,0.723739673783972
290,300,126.25,1.23692339535978,0.809361912686182
290,300,126.875,1.26899820779431,0.895741881303684
290,300,127.5,1.29532208884705,0.982604933949038
290,300,128.125,1.31728486310775,1.06976726792488
290,300,128.75,1.33586957542305,1.15710246678905
290,300,129.375,1.35178872233261,1.24452162638265
290,300,130,1.365570058605,1.33196111254496
290,300,130.625,1.37761213041986,1.41937477018924
290,300,131.25,1.38822113818974,1.5067288189847
290,300,131.875,1.39763598241736,1.5939984214049
290,300,132.5,1.40604564616683,1.68116532117697
290,300,133.125,1.41360149463346,1.76821618423878
290,300,133.75,1.42042613281973,1.85514141130773
290,300,134.375,1.42661988779258,1.94193427360434
290,300,135,1.43226562269387,2.02859027416009
290,300,135.625,1.43743236021942,2.11510666928584
290,300,136.25,1.44217804386448,2.20148210552274
290,300,136.875,1.44655166615795,2.28771634104846
290,300,137.5,1.45059492629784,2.37381002965713
290,300,138.125,1.45434353384043,2.45976455166024
290,300,138.75,1.45782824329333,2.54558188036345
290,300,139.375,1.4610756820597,2.63126447579605
290,300,140,1.46410901819997,2.71681519951735
290,300,140.625,1.46694850294049,2.80223724586899
290,300,141.25,1.46961191443954,2.88753408616676
290,300,141.875,1.47211492311185,2.97270942315219
290,300,142.5,1.47447139418945,3.05776715363848
290,300,143.125,1.4766936397229,3.14271133774598
290,300,143.75,1.47879262959325,3.22754617347071
290,300,144.375,1.48077816909332,3.31227597559529
290,300,145,1.48265904908776,3.39690515815585
290,300,145.625,1.48444317355949,3.48143821983683
290,300,146.25,1.48613766841216,3.56587973178864
290,300,146.875,1.48774897466052,3.6502343274606
290,300,147.5,1.48928292855745,3.73450669411727
290,300,148.125,1.49074483074227,3.81870156576796
290,300,148.75,1.49213950612384,3.90282371728706
290,300,149.375,1.49347135591321,3.98687795954237
290,300,150,1.49474440297942,4.07086913537991
290,300,150.625,1.49596233150587,4.15480211633934
290,300,151.25,1.49712852176462,4.23868179999506
290,300,151.875,1.49824608069505,4.32251310783507
290,300,152.5,1.49931786886504,4.40630098360373
290,300,153.125,1.50034652430383,4.49005039204634
290,300,153.75,1.50133448362145,4.5737663180029
290,300,154.375,1.50228400076811,4.65745376580656
290,300,155,1.50319716373526,4.74111775894895
290,300,155.625,1.50407590945669,4.82476333998017
290,300,156.25,1.50492203713192,4.90839557061609
290,300,156.875,1.50573722016299,4.99201953202936
290,300,157.5,1.50652301687006,5.07564032530422
290,300,158.125,1.50728088012888,5.1592630720378
290,300,158.75,1.50801216605447,5.24289291507332
290,300,159.375,1.50871814183923,5.32653501935246
290,300,160,1.50939999283977,5.41019457287616
290,300,160.625,1.51005882899518,5.49387678776449
290,300,161.25,1.51069569064888,5.57758690140786
290,300,161.875,1.51131155383776,5.66133017770256
290,300,162.5,1.51190733510445,5.74511190836507
290,300,163.125,1.51248389588204,5.82893741432022
290,300,163.75,1.51304204649483,5.91281204715905
290,300,164.375,1.51358254981365,5.99674119066299
290,300,165,1.5141061246,6.08073026239154
290,300,165.625,1.51461344856937,6.16478471533113
290,300,166.25,1.51510516120074,6.2489100396033
290,300,166.875,1.51558186631646,6.33311176423088
290,300,167.5,1.5160441344539,6.41739545896096
290,300,168.125,1.51649250504826,6.50176673614414
290,300,168.75,1.51692748844365,6.58623125266955
290,300,169.375,1.51734956774796,6.67079471195545
290,300,170,1.51775920054539,6.75546286599576
290,300,170.625,1.51815682047917,6.84024151746265
290,300,171.25,1.51854283871564,6.92513652186591
290,300,171.875,1.51891764529987,7.01015378976985
290,300,172.5,1.51928161041207,7.09529928906874
290,300,173.125,1.51963508553292,7.18057904732181
290,300,173.75,1.51997840452543,7.26599915414939
290,300,174.375,1.52031188464011,7.3515657636914
290,300,175,1.52063582744963,7.43728509713005
290,300,175.625,1.52095051971846,7.52316344527848
290,300,176.25,1.52125623421283,7.60920717123725
290,300,176.875,1.52155323045539,7.69542271312093
290,300,177.5,1.52184175542896,7.78181658685685
290,300,178.125,1.5221220442332,7.86839538905863
290,300,178.75,1.52239432069767,7.95516579997687
290,300,179.375,1.52265879795461,8.04213458652985
290,300,180,1.52291567897424,8.1293086054169
290,300,180.625,1.52316515706545,8.2166948063178
290,300,181.25,1.52340741634417,8.30430023518089
290,300,181.875,1.52364263217185,8.39213203760373
290,300,182.5,1.52387097156609,8.48019746230946
290,300,183.125,1.52409259358521,8.56850386472269
290,300,183.75,1.52430764968875,8.65705871064873
290,300,184.375,1.52451628407529,8.74586958006022
290,300,185,1.52471863399924,8.8349441709953
290,300,185.625,1.5249148300679,8.92429030357195
290,300,186.25,1.52510499652007,9.0139159241228
290,300,186.875,1.5252892514874,9.10382910945572
290,300,187.5,1.52546770723948,9.19403807124469
290,300,188.125,1.5256404704138,9.28455116055685
290,300,188.75,1.52580764223139,9.37537687252081
290,300,189.375,1.52596931869896,9.46652385114236
290,300,190,1.5261255907985,9.55800089427339
290,300,190.625,1.52627654466483,9.6498169587407
290,300,191.25,1.52642226175198,9.74198116564109
290,300,191.875,1.52656281898887,9.83450280580976
290,300,192.5,1.52669828892491,9.92739134546952
290,300,193.125,1.52682873986617,10.0206564320682
290,300,193.75,1.5269542360023,10.1143079003126
