"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
280,285,125,-0.0997690651941863
280,285,125.625,-0.100136245541607
280,285,126.25,-0.100506931883766
280,285,126.875,-0.100881050787925
280,285,127.5,-0.101258533350611
280,285,128.125,-0.101639315077047
280,285,128.75,-0.102023335765625
280,285,129.375,-0.102410539397261
280,285,130,-0.102800874029492
280,285,130.625,-0.10319429169515
280,285,131.25,-0.103590748305488
280,285,131.875,-0.103990203557623
280,285,132.5,-0.104392620846168
280,285,133.125,-0.104797967178926
280,285,133.75,-0.105206213096551
280,285,134.375,-0.105617332596031
280,285,135,-0.10603130305792
280,285,135.625,-0.106448105177219
280,285,136.25,-0.106867722897772
280,285,136.875,-0.107290143350134
280,285,137.5,-0.107715356792807
280,285,138.125,-0.10814335655675
280,285,138.75,-0.108574138993108
280,285,139.375,-0.109007703424072
280,285,140,-0.10944405209681
280,285,140.625,-0.109883190140397
280,285,141.25,-0.110325125525698
280,285,141.875,-0.110769869028121
280,285,142.5,-0.11121743419322
280,285,143.125,-0.111667837305077
280,285,143.75,-0.11212109735741
280,285,144.375,-0.112577236027393
280,285,145,-0.11303627765214
280,285,145.625,-0.113498249207775
280,285,146.25,-0.11396318029114
280,285,146.875,-0.114431103104024
280,285,147.5,-0.114902052439955
280,285,148.125,-0.115376065673494
280,285,148.75,-0.115853182752025
280,285,149.375,-0.116333446190033
280,285,150,-0.116816901065837
280,285,150.625,-0.117303595020789
280,285,151.25,-0.117793578260919
280,285,151.875,-0.118286903561049
280,285,152.5,-0.118783626271318
280,285,153.125,-0.119283804326197
280,285,153.75,-0.119787498255942
280,285,154.375,-0.120294771200535
280,285,155,-0.12080568892607
280,285,155.625,-0.121320319843692
280,285,156.25,-0.121838735031009
280,285,156.875,-0.122361008256067
280,285,157.5,-0.122887216003896
280,285,158.125,-0.123417437505641
280,285,158.75,-0.123951754770338
280,285,159.375,-0.12449025261936
280,285,160,-0.125033018723565
280,285,160.625,-0.125580143643211
280,285,161.25,-0.126131720870668
280,285,161.875,-0.126687846875999
280,285,162.5,-0.127248621155443
280,285,163.125,-0.127814146282885
280,285,163.75,-0.128384527964367
280,285,164.375,-0.128959875095708
280,285,165,-0.129540299823321
280,285,165.625,-0.130125917608283
280,285,166.25,-0.130716847293776
280,285,166.875,-0.131313211175963
280,285,167.5,-0.131915135078389
280,285,168.125,-0.132522748430058
280,285,168.75,-0.133136184347212
280,285,169.375,-0.133755579719012
280,285,170,-0.13438107529717
280,285,170.625,-0.135012815789691
280,285,171.25,-0.135650949958874
280,285,171.875,-0.136295630723669
280,285,172.5,-0.136947015266563
280,285,173.125,-0.137605265145173
280,285,173.75,-0.138270546408641
280,285,174.375,-0.138943029719094
280,285,175,-0.139622890478266
280,285,175.625,-0.140310308959543
280,285,176.25,-0.141005470445554
280,285,176.875,-0.141708565371618
280,285,177.5,-0.142419789475174
280,285,178.125,-0.14313934395148
280,285,178.75,-0.143867435615811
280,285,179.375,-0.144604277072429
280,285,180,-0.145350086890558
280,285,180.625,-0.146105089787697
280,285,181.25,-0.146869516820536
280,285,181.875,-0.147643605583792
280,285,182.5,-0.14842760041733
280,285,183.125,-0.149221752621856
280,285,183.75,-0.150026320683613
280,285,184.375,-0.150841570508416
280,285,185,-0.151667775665456
280,285,185.625,-0.15250521764129
280,285,186.25,-0.15335418610446
280,285,186.875,-0.154214979181232
280,285,187.5,-0.15508790374292
280,285,188.125,-0.155973275705348
280,285,188.75,-0.156871420340964
280,285,189.375,-0.157782672604248
280,285,190,-0.158707377470917
280,285,190.625,-0.159645890291689
280,285,191.25,-0.160598577161197
280,285,191.875,-0.161565815302798
280,285,192.5,-0.162547993470033
280,285,193.125,-0.163545512365506
280,285,193.75,-0.164558785078042
280,285,194.375,-0.165588237538995
