"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","dB(S(1,1)) []"
270,282.5,125,-0.101845503411549
270,282.5,125.625,-0.102291454634977
270,282.5,126.25,-0.102738592369826
270,282.5,126.875,-0.103186934039653
270,282.5,127.5,-0.103636499940365
270,282.5,128.125,-0.104087313156784
270,282.5,128.75,-0.10453939948475
270,282.5,129.375,-0.104992787358623
270,282.5,130,-0.105447507783912
270,282.5,130.625,-0.105903594274851
270,282.5,131.25,-0.106361082796723
270,282.5,131.875,-0.106820011712747
270,282.5,132.5,-0.107280421735388
270,282.5,133.125,-0.10774235588188
270,282.5,133.75,-0.108205859433877
270,282.5,134.375,-0.108670979901034
270,282.5,135,-0.109137766988437
270,282.5,135.625,-0.109606272567738
270,282.5,136.25,-0.110076550651889
270,282.5,136.875,-0.110548657373363
270,282.5,137.5,-0.111022650965792
270,282.5,138.125,-0.111498591748906
270,282.5,138.75,-0.111976542116711
270,282.5,139.375,-0.11245656652881
270,282.5,140,-0.112938731504852
270,282.5,140.625,-0.113423105621968
270,282.5,141.25,-0.113909759515218
270,282.5,141.875,-0.11439876588095
270,282.5,142.5,-0.114890199483058
270,282.5,143.125,-0.115384137162082
270,282.5,143.75,-0.115880657847135
270,282.5,144.375,-0.116379842570624
270,282.5,145,-0.116881774485748
270,282.5,145.625,-0.117386538886759
270,282.5,146.25,-0.117894223231967
270,282.5,146.875,-0.118404917169515
270,282.5,147.5,-0.118918712565876
270,282.5,148.125,-0.119435703537126
270,282.5,148.75,-0.119955986482986
270,282.5,149.375,-0.120479660123637
270,282.5,150,-0.121006825539339
270,282.5,150.625,-0.121537586212895
270,282.5,151.25,-0.122072048074976
270,282.5,151.875,-0.122610319552327
270,282.5,152.5,-0.123152511618946
270,282.5,153.125,-0.123698737850225
270,282.5,153.75,-0.124249114480139
270,282.5,154.375,-0.124803760461545
270,282.5,155,-0.125362797529633
270,282.5,155.625,-0.1259263502686
270,282.5,156.25,-0.12649454618165
270,282.5,156.875,-0.127067515764346
270,282.5,157.5,-0.127645392581484
270,282.5,158.125,-0.128228313347468
270,282.5,158.75,-0.128816418010402
270,282.5,159.375,-0.129409849839915
270,282.5,160,-0.130008755518886
270,282.5,160.625,-0.130613285239162
270,282.5,161.25,-0.131223592801393
270,282.5,161.875,-0.131839835719141
270,282.5,162.5,-0.132462175327391
270,282.5,163.125,-0.133090776895607
270,282.5,163.75,-0.133725809745488
270,282.5,164.375,-0.134367447373648
270,282.5,165,-0.135015867579281
270,282.5,165.625,-0.13567125259715
270,282.5,166.25,-0.136333789235938
270,282.5,166.875,-0.137003669022316
270,282.5,167.5,-0.137681088350812
270,282.5,168.125,-0.138366248639827
270,282.5,168.75,-0.139059356493965
270,282.5,169.375,-0.139760623872957
270,282.5,170,-0.140470268267453
270,282.5,170.625,-0.14118851288196
270,282.5,171.25,-0.141915586825218
270,282.5,171.875,-0.142651725308335
270,282.5,172.5,-0.143397169851008
270,282.5,173.125,-0.144152168496176
270,282.5,173.75,-0.144916976033484
270,282.5,174.375,-0.145691854231901
270,282.5,175,-0.146477072081969
270,282.5,175.625,-0.147272906048029
270,282.5,176.25,-0.148079640330927
270,282.5,176.875,-0.148897567141662
270,282.5,177.5,-0.149726986986466
270,282.5,178.125,-0.150568208963832
270,282.5,178.75,-0.151421551074068
270,282.5,179.375,-0.152287340541948
270,282.5,180,-0.153165914153049
270,282.5,180.625,-0.154057618604481
270,282.5,181.25,-0.154962810870613
270,282.5,181.875,-0.155881858584595
270,282.5,182.5,-0.156815140436376
270,282.5,183.125,-0.157763046588046
270,282.5,183.75,-0.15872597910733
270,282.5,184.375,-0.15970435242018
270,282.5,185,-0.160698593783299
270,282.5,185.625,-0.161709143777733
270,282.5,186.25,-0.162736456824447
270,282.5,186.875,-0.163781001723103
270,282.5,187.5,-0.164843262215142
270,282.5,188.125,-0.165923737572467
270,282.5,188.75,-0.167022943212985
270,282.5,189.375,-0.168141411344465
270,282.5,190,-0.169279691638112
270,282.5,190.625,-0.170438351933475
270,282.5,191.25,-0.171617978976304
270,282.5,191.875,-0.172819179191109
270,282.5,192.5,-0.17404257949029
270,282.5,193.125,-0.175288828121776
270,282.5,193.75,-0.176558595557263
270,282.5,194.375,-0.177852575423285
270,282.5,195,-0.179171485477401
270,282.5,195.625,-0.180516068632058
270,282.5,196.25,-0.181887094028691
270,282.5,196.875,-0.183285358164955
270,282.5,197.5,-0.184711686077962
270,282.5,198.125,-0.186166932586799
270,282.5,198.75,-0.18765198359759
270,282.5,199.375,-0.189167757474786
270,282.5,200,-0.190715206482383
270,282.5,200.625,-0.192295318299238
270,282.5,201.25,-0.193909117612703
270,282.5,201.875,-0.195557667795251
270,282.5,202.5,-0.197242072668946
270,282.5,203.125,-0.198963478363024
270,282.5,203.75,-0.200723075270115
270,282.5,204.375,-0.202522100107102
270,282.5,205,-0.204361838086945
270,282.5,205.625,-0.206243625208209
270,282.5,206.25,-0.208168850669602
270,282.5,206.875,-0.210138959417214
270,282.5,207.5,-0.212155454832746
270,282.5,208.125,-0.214219901571551
270,282.5,208.75,-0.216333928559995
270,282.5,209.375,-0.218499232162207
270,282.5,210,-0.220717579527105
270,282.5,210.625,-0.222990812127323
270,282.5,211.25,-0.225320849502444
270,282.5,211.875,-0.22770969321995
270,282.5,212.5,-0.230159431068159
270,282.5,213.125,-0.232672241496551
270,282.5,213.75,-0.235250398319952
270,282.5,214.375,-0.237896275704327
270,282.5,215,-0.240612353453197
270,282.5,215.625,-0.24340122261516
270,282.5,216.25,-0.24626559143451
270,282.5,216.875,-0.249208291668671
270,282.5,217.5,-0.252232285297902
270,282.5,218.125,-0.255340671654736
270,282.5,218.75,-0.258536695002735
270,282.5,219.375,-0.261823752596447
270,282.5,220,-0.265205403256887
270,282.5,220.625,-0.268685376499682
270,282.5,221.25,-0.272267582255875
270,282.5,221.875,-0.275956121228558
270,282.5,222.5,-0.279755295932054
270,282.5,223.125,-0.283669622464035
270,282.5,223.75,-0.287703843065152
270,282.5,224.375,-0.291862939525039
270,282.5,225,-0.296152147498575
270,282.5,225.625,-0.3005769718014
270,282.5,226.25,-0.305143202759445
270,282.5,226.875,-0.309856933693438
270,282.5,227.5,-0.314724579626158
270,282.5,228.125,-0.319752897307488
270,282.5,228.75,-0.324949006660396
270,282.5,229.375,-0.330320413759661
270,282.5,230,-0.335875035464675
270,282.5,230.625,-0.341621225837935
270,282.5,231.25,-0.347567804492118
270,282.5,231.875,-0.353724087020846
270,282.5,232.5,-0.360099917681511
270,282.5,233.125,-0.366705704513037
270,282.5,233.75,-0.373552457087095
270,282.5,234.375,-0.380651827108373
270,282.5,235,-0.388016152097989
270,282.5,235.625,-0.395658502414186
270,282.5,236.25,-0.403592731886068
270,282.5,236.875,-0.411833532359749
270,282.5,237.5,-0.420396492481379
270,282.5,238.125,-0.429298161068956
270,282.5,238.75,-0.438556115453948
270,282.5,239.375,-0.448189035205159
270,282.5,240,-0.458216781680728
270,282.5,240.625,-0.468660483889601
270,282.5,241.25,-0.479542631181452
270,282.5,241.875,-0.490887173323401
