"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,307.5,125,1.4505686720386,2.4611459374566
270,307.5,125.625,1.45426316414331,2.55219271698439
270,307.5,126.25,1.45769779979017,2.64305102069206
270,307.5,126.875,1.46089923718074,2.73372495542107
270,307.5,127.5,1.46389058902494,2.8242190020655
270,307.5,128.125,1.46669199223952,2.9145379467903
270,307.5,128.75,1.46932107143281,3.00468682563706
270,307.5,129.375,1.47179331853653,3.09467087967713
270,307.5,130,1.47412240573298,3.18449551853807
270,307.5,130.625,1.47632044493831,3.27416629062539
270,307.5,131.25,1.47839820417852,3.36368885873335
270,307.5,131.875,1.48036528897468,3.45306898002131
270,307.5,132.5,1.48223029515585,3.54231248954738
270,307.5,133.125,1.48400093820874,3.6314252867171
270,307.5,133.75,1.48568416325661,3.7204133241338
270,307.5,134.375,1.48728623896488,3.80928259843751
270,307.5,135,1.48881283804543,3.89803914279859
270,307.5,135.625,1.4902691065364,3.98668902079468
270,307.5,136.25,1.49165972363955,4.07523832144911
270,307.5,136.875,1.49298895358169,4.16369315524909
270,307.5,137.5,1.49426069071223,4.25205965099356
270,307.5,138.125,1.49547849884276,4.34034395334682
270,307.5,138.75,1.49664564566792,4.42855222099491
270,307.5,139.375,1.49776513296933,4.51669062531893
270,307.5,140,1.49883972319288,4.60476534951351
270,307.5,140.625,1.49987196289667,4.69278258809033
270,307.5,141.25,1.50086420349104,4.78074854671607
270,307.5,141.875,1.50181861962798,4.86866944234215
270,307.5,142.5,1.50273722554481,4.95655150359033
270,307.5,143.125,1.50362188962259,5.04440097136371
270,307.5,143.75,1.50447434738215,5.13222409965719
270,307.5,144.375,1.50529621311012,5.22002715654583
270,307.5,145,1.50608899027997,5.30781642533221
270,307.5,145.625,1.50685408091135,5.39559820583728
270,307.5,146.25,1.50759279399156,5.48337881582129
270,307.5,146.875,1.50830635306689,5.57116459252352
270,307.5,147.5,1.50899590309756,5.65896189431116
270,307.5,148.125,1.50966251665823,5.74677710242946
270,307.5,148.75,1.51030719955565,5.83461662284637
270,307.5,149.375,1.5109308959263,5.92248688818597
270,307.5,150,1.51153449286919,6.01039435974617
270,307.5,150.625,1.51211882466251,6.09834552959694
270,307.5,151.25,1.51268467660688,6.18634692275594
270,307.5,151.875,1.51323278853319,6.27440509943929
270,307.5,152.5,1.51376385800865,6.36252665738571
270,307.5,153.125,1.51427854327068,6.4507182342528
270,307.5,153.75,1.51477746591526,6.5389865100846
270,307.5,154.375,1.51526121336321,6.62733820985026
270,307.5,155,1.51573034112544,6.7157801060536
270,307.5,155.625,1.51618537488598,6.80431902141428
270,307.5,156.25,1.51662681241951,6.89296183162087
270,307.5,156.875,1.51705512535845,6.98171546815723
270,307.5,157.5,1.51747076082314,7.07058692120316
270,307.5,158.125,1.51787414292722,7.15958324261101
270,307.5,158.75,1.51826567416904,7.24871154896005
270,307.5,159.375,1.5186457367191,7.33797902469048
270,307.5,160,1.51901469361219,7.42739292531944
270,307.5,160.625,1.51937288985235,7.51696058074154
270,307.5,161.25,1.51972065343794,7.60668939861635
270,307.5,161.875,1.5200582963132,7.69658686784607
270,307.5,162.5,1.52038611525241,7.78666056214619
270,307.5,163.125,1.52070439268202,7.87691814371267
270,307.5,163.75,1.52101339744554,7.96736736698902
270,307.5,164.375,1.52131338551576,8.05801608253721
270,307.5,165,1.52160460065837,8.1488722410161
270,307.5,165.625,1.52188727505052,8.23994389727185
270,307.5,166.25,1.52216162985793,8.3312392145446
270,307.5,166.875,1.52242787577337,8.42276646879604
270,307.5,167.5,1.52268621351958,8.51453405316283
270,307.5,168.125,1.52293683431897,8.60655048254099
270,307.5,168.75,1.52317992033267,8.69882439830664
270,307.5,169.375,1.52341564507086,8.79136457317884
270,307.5,170,1.52364417377659,8.8841799162304
270,307.5,170.625,1.52386566378472,8.97727947805288
270,307.5,171.25,1.52408026485777,9.07067245608255
270,307.5,171.875,1.52428811950009,9.16436820009392
270,307.5,172.5,1.5244893632519,9.25837621786821
270,307.5,173.125,1.52468412496435,9.3527061810443
270,307.5,173.75,1.52487252705689,9.44736793116014
270,307.5,174.375,1.52505468575795,9.54237148589283
270,307.5,175,1.52523071133007,9.63772704550624
270,307.5,175.625,1.52540070828026,9.73344499951532
270,307.5,176.25,1.52556477555651,9.82953593357659
270,307.5,176.875,1.52572300673127,9.92601063661518
