"ResFreq [GHz]","ResFreq2 [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
300,290,125,-0.207094712066731,0.271593518379678
300,290,125.625,0.138066414093281,0.269276126875812
300,290,126.25,0.451016293942004,0.297380875301842
300,290,126.875,0.690399681401464,0.348358746387951
300,290,127.5,0.861075935103491,0.413623733617479
300,290,128.125,0.982357256804427,0.487291883820919
300,290,128.75,1.07057687337468,0.565943190929095
300,290,129.375,1.13668057852709,0.647639384256867
300,290,130,1.18764482232464,0.731253324700738
300,290,130.625,1.22794041847019,0.816102887111774
300,290,131.25,1.26050005042992,0.901758206747536
300,290,131.875,1.28730193711085,0.987938287223281
300,290,132.5,1.30971793428391,1.07445354478494
300,290,133.125,1.32872420168211,1.16117261601708
300,290,133.75,1.34503172353726,1.24800245026364
300,290,134.375,1.3591692852388,1.33487595020023
300,290,135,1.37153758386066,1.42174405524307
300,290,135.625,1.38244537332709,1.50857052662815
300,290,136.25,1.39213415297684,1.59532842484582
300,290,136.875,1.40079537942471,1.68199767606535
300,290,137.5,1.40858269269667,1.76856335654639
300,290,138.125,1.41562075069523,1.85501446096788
300,290,138.75,1.4220117135425,1.94134300349501
300,290,139.375,1.42784007166567,2.02754335182997
300,290,140,1.43317628826167,2.11361172712573
300,290,140.625,1.43807958073464,2.19954582378369
300,290,141.25,1.44260006846288,2.28534451711654
300,290,141.875,1.44678044844397,2.37100763623959
300,290,142.5,1.45065731514471,2.45653578596118
300,290,143.125,1.45426220936414,2.54193020588575
300,290,143.75,1.4576224586558,2.62719265806616
300,290,144.375,1.46076185593713,2.71232533676636
300,290,145,1.46370121139804,2.79733079549872
300,290,145.625,1.46645880439939,2.8822118876691
300,290,146.25,1.46905075583086,2.96697171802372
300,290,146.875,1.47149133675733,3.0516136027323
300,290,147.5,1.47379322569056,3.136141036423
300,290,148.125,1.47596772417242,3.22055766484884
300,290,148.75,1.47802493832749,3.30486726214353
300,290,149.375,1.47997393247982,3.38907371183863
300,290,150,1.48182285971414,3.47318099098
300,290,150.625,1.48357907331328,3.55719315681102
300,290,151.25,1.48524922225634,3.64111433559178
300,290,151.875,1.48683933337145,3.72494871320402
300,290,152.5,1.48835488226619,3.80870052725554
300,290,153.125,1.48980085478152,3.89237406044903
300,290,153.75,1.49118180041249,3.97597363502128
300,290,154.375,1.49250187889271,4.05950360809243
300,290,155,1.4937649009409,4.14296836779125
300,290,155.625,1.49497436400435,4.22637233004526
300,290,156.25,1.49613348370078,4.30971993594187
300,290,156.875,1.49724522155002,4.39301564958219
300,290,157.5,1.49831230949581,4.47626395636095
300,290,158.125,1.49933727164245,4.55946936161663
300,290,158.75,1.5003224435682,4.64263638960401
300,290,159.375,1.50126998952435,4.72576958274864
300,290,160,1.502181917785,4.80887350114881
300,290,160.625,1.5030600943751,4.89195272229527
300,290,161.25,1.50390625537303,4.97501184098364
300,290,161.875,1.50472201795725,5.05805546939754
300,290,162.5,1.50550889034387,5.14108823734402
300,290,163.125,1.50626828074284,5.2241147926251
300,290,163.75,1.50700150544385,5.30713980153164
300,290,164.375,1.50770979612881,5.39016794944757
300,290,165,1.50839430649588,5.47320394155438
300,290,165.625,1.50905611826926,5.55625250362671
300,290,166.25,1.50969624666024,5.63931838291177
300,290,166.875,1.5103156453368,5.72240634908569
300,290,167.5,1.51091521095266,5.8055211952814
300,290,168.125,1.51149578728054,5.88866773918311
300,290,168.75,1.51205816898929,5.97185082418327
300,290,169.375,1.51260310510015,6.05507532059844
300,290,170,1.5131313021534,6.13834612694135
300,290,170.625,1.51364342711327,6.22166817124637
300,290,171.25,1.51414011003582,6.30504641244655
300,290,171.875,1.51462194652222,6.3884858418005
300,290,172.5,1.51508949997689,6.47199148436785
300,290,173.125,1.51554330368866,6.55556840053217
300,290,173.75,1.51598386275055,6.6392216875707
300,290,174.375,1.5164116558327,6.72295648127045
300,290,175,1.51682713682126,6.8067779575902
300,290,175.625,1.51723073633478,6.89069133436869
300,290,176.25,1.51762286312872,6.97470187307874
300,290,176.875,1.51800390539736,7.05881488062805
300,290,177.5,1.51837423198182,7.14303571120677
300,290,178.125,1.5187341934918,7.22736976818274
300,290,178.75,1.51908412334815,7.31182250604512
300,290,179.375,1.5194243387526,7.39639943239727
300,290,180,1.51975514159047,7.48110611000002
300,290,180.625,1.52007681927157,7.56594815886645
300,290,181.25,1.52038964551414,7.65093125840959
300,290,181.875,1.52069388107622,7.73606114964427
300,290,182.5,1.52098977443838,7.82134363744488
300,290,183.125,1.52127756244142,7.90678459286063
300,290,183.75,1.52155747088257,7.99238995548994
300,290,184.375,1.52182971507297,8.07816573591613
300,290,185,1.52209450035943,8.16411801820608
300,290,185.625,1.52235202261298,8.25025296247432
300,290,186.25,1.52260246868645,8.33657680751449
300,290,186.875,1.5228460168434,8.42309587350076
300,290,187.5,1.52308283716032,8.5098165647615
300,290,188.125,1.5233130919039,8.5967453726279
300,290,188.75,1.523536935885,8.68388887836035
300,290,189.375,1.52375451679109,8.77125375615512
300,290,190,1.52396597549829,8.85884677623478
300,290,190.625,1.52417144636454,8.94667480802512
300,290,191.25,1.52437105750506,9.03474482342206
300,290,191.875,1.52456493105112,9.12306390015183
300,290,192.5,1.52475318339338,9.21163922522812
300,290,193.125,1.52493592541049,9.30047809850993
300,290,193.75,1.52511326268406,9.3895879363639
300,290,194.375,1.52528529570069,9.47897627543537
300,290,195,1.52545212004186,9.56865077653239
300,290,195.625,1.52561382656244,9.65861922862701
300,290,196.25,1.52577050155833,9.74888955297875
300,290,196.875,1.525922226924,9.83946980738494
300,290,197.5,1.52606908030033,9.93036819056299
300,290,198.125,1.52621113521348,10.0215930466701
300,290,198.75,1.52634846120496,10.113152869966
300,290,199.375,1.52648112395371,10.2050563096237
300,290,200,1.5266091853903,10.2973121746961
300,290,200.625,1.52673270380379,10.3899294392428
300,290,201.25,1.52685173394157,10.4829172476253
300,290,201.875,1.52696632710251,10.5762849199763
300,290,202.5,1.5270765312237,10.6700419578519
300,290,203.125,1.52718239096112,10.7641980500725
300,290,203.75,1.52728394776436,10.8587630787621
300,290,204.375,1.52738123994586,10.9537471255931
300,290,205,1.52747430274464,11.0491604782457
300,290,205.625,1.52756316838493,11.1450136370923
300,290,206.25,1.52764786612968,11.2413173221134
300,290,206.875,1.52772842232933,11.3380824800594
300,290,207.5,1.52780486046583,11.4353202918647
300,290,208.125,1.52787720119216,11.533042180328
300,290,208.75,1.52794546236735,11.6312598180693
300,290,209.375,1.52800965908726,11.7299851357759
300,290,210,1.5280698037111,11.8292303307504
300,290,210.625,1.52812590588385,11.929007875774
300,290,211.25,1.5281779725546,12.029330528299
300,290,211.875,1.52822600799092,12.1302113399867
300,290,212.5,1.52827001378929,12.2316636666036
300,290,213.125,1.52830998888162,12.3337011782962
300,290,213.75,1.52834592953792,12.436337870257
300,290,214.375,1.52837782936516,12.5395880738048
300,290,215,1.52840567930223,12.6434664678942
300,290,215.625,1.52842946761113,12.7479880910772
300,290,216.25,1.52844917986431,12.8531683539369
300,290,216.875,1.52846479892809,12.9590230520162
300,290,217.5,1.52847630494233,13.0655683792644
300,290,218.125,1.52848367529602,13.1728209420271
300,290,218.75,1.528486884599,13.2807977736061
300,290,219.375,1.5284859046496,13.3895163494154
300,290,220,1.52848070439818,13.4989946027638
300,290,220.625,1.5284712499065,13.6092509412952
300,290,221.25,1.52845750430277,13.7203042641172
300,290,221.875,1.52843942773237,13.8321739796552
300,290,222.5,1.52841697730401,13.9448800242656
300,290,223.125,1.52839010703132,14.0584428816491
300,290,223.75,1.52835876776962,14.1728836031022
300,290,224.375,1.52832290714778,14.2882238286527
300,290,225,1.52828246949501,14.4044858091224
300,290,225.625,1.52823739576231,14.5216924291672
300,290,226.25,1.52818762343856,14.6398672313437
300,290,226.875,1.52813308646075,14.7590344412595
300,290,227.5,1.52807371511846,14.8792189938615
300,290,228.125,1.52800943595202,15.0004465609259
300,290,228.75,1.52794017164433,15.1227435798127
300,290,229.375,1.52786584090589,15.2461372835555
300,290,230,1.52778635835279,15.3706557323583
300,290,230.625,1.52770163437734,15.4963278465767
300,290,231.25,1.52761157501091,15.6231834412689
300,290,231.875,1.52751608177874,15.7512532624004
